index,source_node,target_node,weight,day
311,227,669,290700.0,82
312,260,1619,185823.0,82
313,211,371,225000.0,83
314,106,982,1081425.39,85
315,127,548,850000.0,85
316,157,1198,499500.0,85
317,260,1619,265997.77,85
318,288,1437,148000.0,85
319,324,377,395985.0,85
320,324,526,229372.0,85
321,7,406,269431.0,86
322,157,1017,753200.0,86
323,227,823,325464.0,86
324,244,607,737582.85,86
325,244,607,380260.55,86
326,244,776,250000.0,86
327,244,776,284190.62,86
328,324,607,321416.0,86
329,324,705,398500.0,86
330,17,367,149985.6,87
331,17,652,218000.0,87
332,17,1536,899795.0,87
333,17,1607,269820.0,87
334,61,2025,377850.0,87
335,157,486,550000.0,87
336,191,1389,4900000.0,87
337,279,966,404791.0,87
338,279,966,315518.0,87
339,279,966,165340.0,87
340,279,1464,700500.0,87
341,279,1464,889227.5,87
342,84,652,199964.5,88
343,223,1045,554950.0,88
344,335,451,528000.0,88
345,50,1269,897300.0,89
346,53,1419,352000.0,89
347,199,525,1501037.43,89
348,244,737,600000.0,89
349,244,1457,468675.0,89
350,279,1464,731825.96,89
351,286,1425,720000.0,89
352,157,1098,499600.0,90
353,300,522,1570000.0,90
354,136,2140,653008.32,92
355,157,1545,499800.0,92
356,227,823,348718.0,92
357,84,1432,349500.0,93
358,84,1432,349200.0,93
359,157,1098,499600.0,93
360,244,586,179760.0,93
361,244,607,706602.8,93
362,244,607,472799.0,93
363,244,607,248750.0,93
364,244,737,283700.5,93
365,260,1619,3498900.0,93
366,291,1352,611730.0,93
367,84,923,479150.0,94
368,244,586,286380.0,94
369,244,895,216503.0,94
370,244,1213,508990.0,94
371,255,934,414000.0,94
372,157,730,498972.3,95
373,157,1545,499800.0,95
374,7,406,119764.0,99
375,73,1794,525485.0,99
376,87,561,648670.35,99
377,136,688,3383885.4,99
378,257,1775,381443.11,99
379,279,1425,899405.0,99
380,42,1296,488079.71,100
381,81,1545,499000.0,100
382,86,1320,1198200.0,100
383,86,1915,1147479.03,100
384,113,977,792540.0,100
385,244,895,266112.0,100
386,244,1213,673480.0,100
387,335,550,700000.0,100
388,20,1326,240313.44,101
389,64,510,101531.03,101
390,64,946,730862.0,101
391,199,422,3824999.92,101
392,279,988,197498.87,101
393,334,1393,651700.0,101
394,14,1473,564491.33,102
395,84,977,549949.4,102
396,84,2444,125000.0,102
397,188,1017,775000.0,102
398,64,414,790291.0,103
399,64,500,182800.0,103
400,64,500,527480.0,103
401,64,500,899200.0,103
402,64,500,122500.0,103
403,64,526,90000.0,103
404,64,526,90000.0,103
405,64,586,393464.35,103
406,64,1408,445885.0,103
407,86,1915,1193806.77,103
408,203,2025,232000.25,103
409,157,632,500000.0,104
410,203,2025,119741.65,106
411,265,2128,600000.0,106
412,265,2129,780000.0,106
413,265,2139,900000.0,106
414,265,2141,480000.0,106
415,302,1012,898762.53,106
416,17,983,124800.0,107
417,46,607,414400.0,107
418,46,820,819500.0,107
419,91,797,390132.0,107
420,126,1806,899000.0,107
421,126,1868,899000.0,107
422,181,1500,228847.0,107
423,326,934,456000.0,107
424,326,1130,404813.0,107
425,326,1472,314500.0,107
426,85,810,661144.8,108
427,291,828,855000.0,108
428,301,673,889500.0,108
429,335,759,892000.0,108
430,84,1378,454027.95,109
431,84,1378,551609.9,109
432,21,1711,3800000.0,109
433,188,1545,510000.0,109
434,244,607,660370.0,109
435,271,1386,1014000.0,109
436,300,363,115000.0,109
437,17,923,249650.0,110
438,17,983,179800.0,110
439,17,1179,179900.0,110
440,156,733,797850.0,110
441,164,652,433700.0,110
442,197,1554,591630.09,110
443,197,1554,500954.7,110
444,197,1878,490000.0,110
445,258,526,676500.0,110
446,258,1083,267255.73,110
447,258,1178,397000.0,110
448,258,1490,299600.0,110
449,258,1865,399963.0,110
450,265,2126,524000.0,110
451,265,2129,480000.0,110
452,265,2139,540000.0,110
453,265,2141,480000.0,110
454,105,1269,539000.0,113
455,184,1419,833000.18,113
456,258,859,349700.0,113
457,262,1889,322000.0,113
458,279,911,894000.0,113
459,324,523,279960.5,113
460,324,523,359930.94,113
461,86,2102,97867.0,114
462,89,1594,728288.0,114
463,164,1683,259690.0,114
464,229,2188,272745.0,114
465,302,787,2379950.0,114
466,84,652,5916959.9,115
467,138,931,348000.0,115
468,138,1243,355500.0,115
469,175,1680,123498.0,115
470,236,523,598879.0,115
471,236,640,406355.72,115
472,285,1331,250000.0,115
473,285,1331,250000.0,115
474,301,1594,898500.0,115
475,322,1239,815216.6,115
476,334,1098,199500.0,115
477,84,2379,1498779.0,116
478,84,1023,321000.0,116
479,50,1545,896565.0,116
480,308,1656,364739.47,116
481,308,1656,2517697.56,116
482,6,1646,398960.95,117
483,127,1775,280190.98,117
484,161,936,792978.9,117
485,161,936,715000.0,117
486,183,1410,500000.0,117
487,183,1549,450000.0,117
488,183,2090,501762.99,117
489,183,2368,600000.0,117
490,183,2369,895500.0,117
491,188,1017,505000.0,117
492,222,948,425150.0,117
493,319,785,863450.0,117
494,319,920,539500.0,117
495,183,1243,467600.0,118
496,52,765,1671856.65,120
497,53,1035,458529.94,120
498,175,422,798000.04,120
499,222,375,502140.12,120
500,227,473,290000.0,120
501,308,571,364800.0,120
502,308,982,365000.0,120
503,308,982,132202.67,120
504,308,982,132202.67,120
505,308,1656,364730.33,120
506,308,1685,2170703.19,120
507,116,893,896522.63,121
508,308,1199,364200.0,121
509,308,1228,132151.0,121
510,87,1257,179708.39,122
511,99,2368,4343514.0,122
512,108,638,257500.0,122
513,108,638,289916.0,122
